name,rows,dimension,batch,eligible_rows,k,work_units,cpu_p95_ns,gpu_p95_ns,automatic_p95_ns,optimal_backend,automatic_backend,routing_regret,automatic_over_best,recall_passed
d128-b8-e488-k1,10000,128,8,488,1,499712,123000,406000,89400,cpu,cpu,0.0,-0.2731707317073171,True
d128-b8-e733-k10,10000,128,8,733,10,750592,270200,428000,221700,cpu,cpu,0.0,-0.17949666913397488,True
d128-b8-e977-k64,10000,128,8,977,64,1000448,505100,715300,1661300,cpu,gpu,0.4161552167887548,2.2890516729360524,True
d128-b8-e1221-k10,10000,128,8,1221,10,1250304,468700,1573200,1884600,cpu,gpu,2.3565180285897163,3.020908896949008,True
d128-b8-e1465-k1,10000,128,8,1465,1,1500160,1368700,628800,1505300,gpu,gpu,0.0,1.3939249363867683,True
d384-b1-e1302-k1,10000,384,1,1302,1,499968,236700,1419700,440500,cpu,cpu,0.0,0.8610054921841994,True
d384-b1-e1953-k10,10000,384,1,1953,10,749952,951000,1240400,1239100,cpu,cpu,0.0,0.3029442691903259,True
d384-b1-e2604-k64,10000,384,1,2604,64,999936,1547300,2299900,1779100,cpu,cpu,0.0,0.14980934531118728,True
d384-b1-e3255-k10,10000,384,1,3255,10,1249920,1806000,2188100,2043100,cpu,gpu,0.21157253599114068,0.1312846068660023,True
d384-b1-e3906-k1,10000,384,1,3906,1,1499904,1936500,1953100,1786700,cpu,gpu,0.008572166279370075,-0.07735605473792928,True
d768-b16-e41-k1,10000,768,16,41,1,503808,471900,2160900,194600,cpu,cpu,0.0,-0.5876244967154058,True
d768-b16-e61-k10,10000,768,16,61,10,749568,947000,918000,771500,gpu,cpu,0.031590413943355156,-0.15958605664488013,True
d768-b16-e81-k64,10000,768,16,81,64,995328,560000,820500,441900,cpu,cpu,0.0,-0.2108928571428571,True
d768-b16-e102-k10,10000,768,16,102,10,1253376,276800,572500,1271900,cpu,gpu,1.068280346820809,3.595014450867052,True
d768-b16-e122-k1,10000,768,16,122,1,1499136,210300,550900,1134200,cpu,gpu,1.619591060389919,4.393247741321921,True
all-r1000-d128-b8-k10,1000,128,8,1000,10,1024000,174200,460800,409600,cpu,gpu,1.6452353616532722,1.3513203214695753,True
