engine,run,batch_index,query_indices,query_count,completed_ns,device_resident_ns,k,recall_at_k,recall_at_10
faiss-flat,0,0,13;11;19;46;37;27;7;15,8,129664,,10,1.0,1.0
faiss-flat,0,1,41;50;24;8;17;23;60;49,8,103916,,10,1.0,1.0
faiss-flat,0,2,22;25;3;16;34;31;9;12,8,101963,,10,1.0,1.0
faiss-flat,0,3,14;2;29;30;33;53;44;35,8,94762,,10,1.0,1.0
faiss-flat,0,4,43;55;21;39;1;56;32;45,8,97606,,10,1.0,1.0
faiss-flat,0,5,54;18;10;51;0;47;5;63,8,93360,,10,1.0,1.0
faiss-flat,0,6,38;48;52;20;58;61;6;59,8,95914,,10,1.0,1.0
faiss-flat,0,7,57;62;40;28;42;26;36;4,8,81041,,10,1.0,1.0
faiss-flat,1,0,16;14;4;36;26;30;3;32,8,86190,,10,1.0,1.0
faiss-flat,1,1,15;10;38;24;59;54;2;34,8,79720,,10,1.0,1.0
faiss-flat,1,2,0;50;29;13;52;55;18;31,8,86429,,10,1.0,1.0
faiss-flat,1,3,12;7;40;35;22;27;6;57,8,80270,,10,1.0,1.0
faiss-flat,1,4,8;42;1;61;62;11;20;45,8,89264,,10,1.0,1.0
faiss-flat,1,5,5;46;56;41;44;58;43;51,8,93781,,10,1.0,1.0
faiss-flat,1,6,48;9;19;60;23;39;28;33,8,101953,,10,1.0,1.0
faiss-flat,1,7,37;47;25;63;17;53;21;49,8,100300,,10,1.0,1.0
faiss-flat,2,0,3;5;37;7;31;45;15;12,8,97436,,10,1.0,1.0
faiss-flat,2,1,57;25;59;19;27;17;46;40,8,91588,,10,1.0,1.0
faiss-flat,2,2,41;4;11;23;36;44;35;39,8,102233,,10,1.0,1.0
faiss-flat,2,3,1;2;32;60;42;47;33;63,8,91457,,10,1.0,1.0
faiss-flat,2,4,13;28;16;58;29;24;8;62,8,94963,,10,1.0,1.0
faiss-flat,2,5,51;55;21;61;43;0;48;14,8,90226,,10,1.0,1.0
faiss-flat,2,6,9;20;49;54;6;52;50;56,8,96234,,10,1.0,1.0
faiss-flat,2,7,38;34;10;26;53;18;22;30,8,90926,,10,1.0,1.0
